date,ffpi_food,ffpi_cereals,ffpi_veg_oils,ffpi_dairy,ffpi_meat,ffpi_sugar,unit,base_period,source,source_url,retrieved_utc
2015-03-01,95.7,99.5,92.62,95.1,97.1,82,Index (2014-2016=100),2014-2016,FAO World Food Situation - Food Price Index,https://www.fao.org/media/docs/worldfoodsituationlibraries/default-document-library/food_price_indices_data_nov648f200b2116421eb8317da42afb0149.csv?sfvrsn=523ebd2a_59&download=true,2025-11-11 16:03:42 UTC
2015-04-01,94.6,98.2,91.87,90.6,97.4,80.9,Index (2014-2016=100),2014-2016,FAO World Food Situation - Food Price Index,https://www.fao.org/media/docs/worldfoodsituationlibraries/default-document-library/food_price_indices_data_nov648f200b2116421eb8317da42afb0149.csv?sfvrsn=523ebd2a_59&download=true,2025-11-11 16:03:42 UTC
2015-05-01,95,95.7,94.49,89.9,99.6,82.6,Index (2014-2016=100),2014-2016,FAO World Food Situation - Food Price Index,https://www.fao.org/media/docs/worldfoodsituationlibraries/default-document-library/food_price_indices_data_nov648f200b2116421eb8317da42afb0149.csv?sfvrsn=523ebd2a_59&download=true,2025-11-11 16:03:42 UTC
2015-06-01,94.6,96.7,95.89,87.7,98.7,77.1,Index (2014-2016=100),2014-2016,FAO World Food Situation - Food Price Index,https://www.fao.org/media/docs/worldfoodsituationlibraries/default-document-library/food_price_indices_data_nov648f200b2116421eb8317da42afb0149.csv?sfvrsn=523ebd2a_59&download=true,2025-11-11 16:03:42 UTC
2015-07-01,93.8,98.9,90.43,82.2,99,79,Index (2014-2016=100),2014-2016,FAO World Food Situation - Food Price Index,https://www.fao.org/media/docs/worldfoodsituationlibraries/default-document-library/food_price_indices_data_nov648f200b2116421eb8317da42afb0149.csv?sfvrsn=523ebd2a_59&download=true,2025-11-11 16:03:42 UTC
2015-08-01,89.5,91.9,82.29,79.9,99,71.2,Index (2014-2016=100),2014-2016,FAO World Food Situation - Food Price Index,https://www.fao.org/media/docs/worldfoodsituationlibraries/default-document-library/food_price_indices_data_nov648f200b2116421eb8317da42afb0149.csv?sfvrsn=523ebd2a_59&download=true,2025-11-11 16:03:42 UTC
2015-09-01,88.9,90.5,81.96,83.2,96.7,73.4,Index (2014-2016=100),2014-2016,FAO World Food Situation - Food Price Index,https://www.fao.org/media/docs/worldfoodsituationlibraries/default-document-library/food_price_indices_data_nov648f200b2116421eb8317da42afb0149.csv?sfvrsn=523ebd2a_59&download=true,2025-11-11 16:03:42 UTC
2015-10-01,90.3,91.7,87.76,88,92.1,86.1,Index (2014-2016=100),2014-2016,FAO World Food Situation - Food Price Index,https://www.fao.org/media/docs/worldfoodsituationlibraries/default-document-library/food_price_indices_data_nov648f200b2116421eb8317da42afb0149.csv?sfvrsn=523ebd2a_59&download=true,2025-11-11 16:03:42 UTC
2015-11-01,87.7,90.5,85.13,80.5,89.2,90,Index (2014-2016=100),2014-2016,FAO World Food Situation - Food Price Index,https://www.fao.org/media/docs/worldfoodsituationlibraries/default-document-library/food_price_indices_data_nov648f200b2116421eb8317da42afb0149.csv?sfvrsn=523ebd2a_59&download=true,2025-11-11 16:03:42 UTC
2015-12-01,87,89.4,86.68,81,86.8,90.6,Index (2014-2016=100),2014-2016,FAO World Food Situation - Food Price Index,https://www.fao.org/media/docs/worldfoodsituationlibraries/default-document-library/food_price_indices_data_nov648f200b2116421eb8317da42afb0149.csv?sfvrsn=523ebd2a_59&download=true,2025-11-11 16:03:42 UTC
2016-01-01,84.9,87.6,85.29,79.4,84.4,86.9,Index (2014-2016=100),2014-2016,FAO World Food Situation - Food Price Index,https://www.fao.org/media/docs/worldfoodsituationlibraries/default-document-library/food_price_indices_data_nov648f200b2116421eb8317da42afb0149.csv?sfvrsn=523ebd2a_59&download=true,2025-11-11 16:03:42 UTC
2016-02-01,86.1,87.3,92.15,78.8,86,81.6,Index (2014-2016=100),2014-2016,FAO World Food Situation - Food Price Index,https://www.fao.org/media/docs/worldfoodsituationlibraries/default-document-library/food_price_indices_data_nov648f200b2116421eb8317da42afb0149.csv?sfvrsn=523ebd2a_59&download=true,2025-11-11 16:03:42 UTC
2016-03-01,87.4,86.5,97.34,76.7,86.1,95.5,Index (2014-2016=100),2014-2016,FAO World Food Situation - Food Price Index,https://www.fao.org/media/docs/worldfoodsituationlibraries/default-document-library/food_price_indices_data_nov648f200b2116421eb8317da42afb0149.csv?sfvrsn=523ebd2a_59&download=true,2025-11-11 16:03:42 UTC
2016-04-01,89.1,88.4,101.17,77.1,87.7,93.9,Index (2014-2016=100),2014-2016,FAO World Food Situation - Food Price Index,https://www.fao.org/media/docs/worldfoodsituationlibraries/default-document-library/food_price_indices_data_nov648f200b2116421eb8317da42afb0149.csv?sfvrsn=523ebd2a_59&download=true,2025-11-11 16:03:42 UTC
2016-05-01,90.6,91.1,99.56,72.7,90.2,104.8,Index (2014-2016=100),2014-2016,FAO World Food Situation - Food Price Index,https://www.fao.org/media/docs/worldfoodsituationlibraries/default-document-library/food_price_indices_data_nov648f200b2116421eb8317da42afb0149.csv?sfvrsn=523ebd2a_59&download=true,2025-11-11 16:03:42 UTC
2016-06-01,93.8,94.1,97.93,73.9,94.1,120.4,Index (2014-2016=100),2014-2016,FAO World Food Situation - Food Price Index,https://www.fao.org/media/docs/worldfoodsituationlibraries/default-document-library/food_price_indices_data_nov648f200b2116421eb8317da42afb0149.csv?sfvrsn=523ebd2a_59&download=true,2025-11-11 16:03:42 UTC
2016-07-01,93,90.4,94.9,76,95.3,121.6,Index (2014-2016=100),2014-2016,FAO World Food Situation - Food Price Index,https://www.fao.org/media/docs/worldfoodsituationlibraries/default-document-library/food_price_indices_data_nov648f200b2116421eb8317da42afb0149.csv?sfvrsn=523ebd2a_59&download=true,2025-11-11 16:03:42 UTC
2016-08-01,95.3,89.3,102.39,81.8,96.4,124.6,Index (2014-2016=100),2014-2016,FAO World Food Situation - Food Price Index,https://www.fao.org/media/docs/worldfoodsituationlibraries/default-document-library/food_price_indices_data_nov648f200b2116421eb8317da42afb0149.csv?sfvrsn=523ebd2a_59&download=true,2025-11-11 16:03:42 UTC
2016-09-01,96.1,86.3,104.32,90.9,94.9,132.9,Index (2014-2016=100),2014-2016,FAO World Food Situation - Food Price Index,https://www.fao.org/media/docs/worldfoodsituationlibraries/default-document-library/food_price_indices_data_nov648f200b2116421eb8317da42afb0149.csv?sfvrsn=523ebd2a_59&download=true,2025-11-11 16:03:42 UTC
